station_id,station_name,parsed_rows,expected_rows,complete
01-3399,GOODWATER,570,570,True
01-3430,GORGAS 2 ENE,570,570,True
01-3511,GREENSBORO,570,570,True
01-3519,GREENVILLE,570,570,True
01-3524,GREENVILLE 2,570,570,True
01-3573,GUNTERSVILLE,570,570,True
01-3620,HALEYVILLE,570,570,True
01-3644,HAMILTON,570,570,True
01-3645,HAMILTON 3 S,570,570,True
01-3655,HANCEVILLE,570,570,True
01-3748,HAYNEVILLE,570,570,True
01-3761,HEADLAND,570,570,True
01-3775,HEFLIN,570,570,True
01-3781,HELENA,570,570,True
01-3783,HELENA 1 S,570,570,True
01-3816,HIGHLAND HOME,570,570,True
01-3842,HIGHTOWER,570,570,True
01-3899,HODGES,570,570,True
01-4064,HUNTSVILLE INTNL AP,570,570,True
01-4068,HUNTSVILLE 4 SSE,570,570,True
01-4192,JACKSON LOCK 1,570,570,True
01-4193,JACKSON,570,570,True
01-4209,JACKSONVILLE,570,570,True
01-4226,JASPER,570,570,True
01-4306,JORDAN DAM,570,570,True
01-4431,KINSTON,570,570,True
01-4502,LAFAYETTE 2W,570,570,True
01-4603,LAY DAM,570,570,True
01-4619,LEEDS,570,570,True
01-4627,LEESBURG,570,570,True
01-4798,LIVINGSTON,570,570,True
01-4845,LINCOLN LOCK 4,570,570,True
01-4855,BANKHEAD L&D,570,570,True
01-4976,MADISON,570,570,True
01-4996,MAGELLA,570,570,True
01-5108,MARION 1 N,570,570,True
01-5112,MARION 7 NE,570,570,True
01-5116,MARION JUNCTION 2 E,570,570,True
01-5121,MARION JUNCTION 2 NE,570,570,True
01-5140,MARTIN DAM,570,570,True
01-5172,MATHEWS,570,570,True
01-5354,MELVIN,570,570,True
01-5397,MIDWAY,570,570,True
01-5417,MILLERS FERRY,570,570,True
01-5420,MILLERS FERRY L&D,570,570,True
01-5439,MILSTEAD,570,570,True
01-5465,MITCHELL DAM,570,570,True
01-5478,MOBILE RGNL AP,570,570,True
01-5483,MOBILE,570,570,True
01-5537,MONTEVALLO,570,570,True
01-5550,MONTGOMERY AP ASOS,570,570,True
01-5553,MONTGOMERY 6SW,570,570,True
01-5555,MONTGOMERY WB CITY,570,570,True
01-5625,MOULTON,570,570,True
01-5635,MOULTON 2,570,570,True
01-5685,MOUNT VERNON BARRACKS,570,570,True
01-5749,MUSCLE SHOALS AP,570,570,True
01-5785,NATCHEZ,570,570,True
01-5862,NEW MARKET,570,570,True
01-5867,NEW MARKET 2,570,570,True
01-5875,NEWTON,570,570,True
01-6121,ONEONTA,570,570,True
01-6129,OPELIKA,570,570,True
01-6218,OZARK 6 NNW,570,570,True
01-6226,PAINT ROCK 2 N,570,570,True
01-6246,PALMERDALE,570,570,True
01-6334,PENNINGTON 2 NE,570,570,True
01-6362,PERRYVILLE,570,570,True
01-6370,PETERMAN,570,570,True
01-6414,PICKENSVILLE,570,570,True
01-6418,PICKENSVILLE,570,570,True
01-6436,PINE APPLE,570,570,True
01-6468,PINE LEVEL 4 ESE,570,570,True
01-6478,PINSON,570,570,True
01-6508,PLANTERSVILLE 2 SSE,570,570,True
01-6640,PRATTVILLE,570,570,True
01-6684,PRIMROSE FARM,570,570,True
01-6719,PUSHMATAHA,570,570,True
01-6847,REFORM,570,570,True
01-6937,RIVER FALLS,570,570,True
01-6942,RIVER FALLS 2 NE,570,570,True
01-6988,ROBERTSDALE,570,570,True
01-7020,ROCKFORD 3 ESE,570,570,True
01-7025,ROCK MILLS,570,570,True
01-7131,RUSSELLVILLE #2,570,570,True
01-7157,SAINT BERNARD,570,570,True
01-7207,SAND MT SUBSTN,570,570,True
01-7282,SAYRE 5 NW,570,570,True
01-7304,SCOTTSBORO,570,570,True
01-7326,SEALE,570,570,True
01-7328,SEALE,570,570,True
01-7366,SELMA,570,570,True
01-7415,SHEFFIELD TVA NURSERY,570,570,True
01-7733,SPRING HILL,570,570,True
01-7963,SUTTLE,570,570,True
01-7994,SYLACAUGA 2 W,570,570,True
01-7999,SYLACAUGA 4 NE,570,570,True
01-8024,TALLADEGA,570,570,True
01-8178,THOMASVILLE,570,570,True
01-8204,THORSBY 1 SW,570,570,True
01-8209,THORSBY EXP STN,570,570,True
01-8215,THURLOW DAM,570,570,True
01-8259,TONEY,570,570,True
01-8285,TRAFFORD,570,570,True
01-8323,TROY,570,570,True
01-8380,TUSCALOOSA ACFD,570,570,True
01-8385,TUSCALOOSA OLIVER DAM,570,570,True
01-8391,TUSCUMBIA,570,570,True
01-8398,TUSKEGEE,570,570,True
01-8403,TUSKEGEE 3 S,570,570,True
01-8438,UNION SPRINGS 9 S,570,570,True
01-8446,UNIONTOWN,570,570,True
01-8469,VALLEY HEAD,570,570,True
01-8517,VERNON,570,570,True
01-8605,WADLEY,570,570,True
01-8608,WADLEY NR 2,570,570,True
01-8637,WALLACE 2 E,570,570,True
01-8648,WALNUT GROVE,570,570,True
01-8653,WALNUT HILL 3 W,570,570,True
01-8668,WARRIOR,570,570,True
01-8670,WARRIOR,570,570,True
01-8673,WARRIOR L&D,570,570,True
01-8686,WATERLOO,570,570,True
01-8755,WEISS DAM,570,570,True
01-8809,WEST BLOCTON,570,570,True
01-8859,WETUMPKA,570,570,True
01-8867,WHATLEY,570,570,True
01-8925,WHITFIELD LOCK 3,570,570,True
01-8998,WINFIELD 2 SW,570,570,True
01-9103,YATES HYDRO PLT,570,570,True
62-5483,MOBILE POINT,570,570,True
