State,Station name,Station ID,Post-merge station ID,Co-located station ID,Base duration,Source of data,Latitude,Longitude,Elevation (ft),Period of record
AL,ASHVILLE 4 W             ,01-0377, ,,1-day,NCDC,33.8500,-86.3333,591,5/1895-2/1973
AL,ATHENS                   ,01-0390, ,,1-day,NCDC,34.7772,-86.9511,680,5/1941-10/2011
AL,ATHENS 2                 ,01-0395,01-0390,,1-day,NCDC,34.8000,-86.9833,720,10/1955-6/1991
AL,ATMORE                   ,01-0402, ,,1-day,NCDC,31.1819,-87.4389,300,3/1940-10/2011
AL,ATMORE                   ,01-0402, ,,1-hour,NCDC,31.1819,-87.4389,300,6/1948-12/2010
AL,ATMORE                   ,01-0402, ,,15-min,NCDC,31.1819,-87.4389,300,10/1983-12/2010
AL,AUBURN                   ,01-0422,01-0430,,1-day,NCDC,32.6000,-85.5000,732,1/1893-12/1970
AL,AUBURN #2                ,01-0425, ,,1-day,NCDC,32.5992,-85.4653,545,1/1893-10/2011
AL,AUBURN #2                ,01-0425, ,,1-hour,NCDC,32.5992,-85.4653,545,6/1948-12/2010
AL,AUBURN AG RSCH STN 10    ,01-0427,01-0425,,1-hour,NCDC,32.6000,-85.4833,702,6/1948-8/1962
AL,AUBURN AGRONOMY FARM     ,01-0430,01-0425,,1-day,NCDC,32.6000,-85.5000,652,1/1976-4/1996
AL,AUBURN AGRONOMY FARM     ,01-0430,01-0425,,1-hour,NCDC,32.6000,-85.5000,652,2/1979-6/1996
AL,AUTAUGAVILLE 3 N         ,01-0440, ,,1-day,NCDC,32.4706,-86.6800,200,10/1940-9/2001
AL,BANKHEAD L&D             ,01-0505, ,,1-day,NCDC,33.4528,-87.3572,280,8/1930-10/2011
AL,BANKHEAD L&D             ,01-4855,01-0505,,1-day,NCDC,33.4500,-87.3500,280,8/1930-1/1957
AL,BARTON                   ,01-0546,01-1819,,1-day,NCDC,34.7167,-87.8667,459,1/1949-4/1953
AL,BAY MINETTE              ,01-0583, ,,1-day,NCDC,30.8839,-87.7853,271,11/1913-10/2011
AL,BEATRICE                 ,01-0616, ,,1-day,NCDC,31.7222,-87.2119,178,12/1941-11/2000
AL,BELLE MINA 2 N           ,01-0655, ,,1-day,NCDC,34.6908,-86.8825,600,1/1950-10/2011
AL,BERRY 3 NW               ,01-0748, ,,1-day,NCDC,33.6944,-87.6497,504,2/1940-10/2011
AL,BERRY 3 NW               ,01-0748, ,,1-hour,NCDC,33.6944,-87.6497,504,6/1948-12/2010
AL,BESSEMER 3 SSW           ,01-0757,01-0764,,1-day,NCDC,33.3667,-87.0167,541,10/1954-1/1975
AL,BESSEMER 3 WSW           ,01-0764, ,,1-day,NCDC,33.3953,-87.0078,445,10/1954-10/2011
AL,BILLINGSLEY 3 NE         ,01-0823, ,,1-day,NCDC,32.6731,-86.6653,445,12/1938-10/2011
AL,BIRMINGHAM               ,01-0836,01-4996,,1-day,NCDC,33.5333,-86.8333,702,4/1893-10/1953
AL,BIRMINGHAM AP ASOS       ,01-0831, ,,1-day,NCDC,33.5656,-86.7450,615,1/1930-10/2010
AL,BIRMINGHAM AP ASOS       ,01-0831, ,,1-hour,NCDC,33.5656,-86.7450,615,6/1948-12/2010
AL,BIRMINGHAM WSFO          ,01-0829, ,,1-day,NCDC,33.4667,-86.8333,744,4/1893-12/1989
AL,BOAZ                     ,01-0957, ,,1-day,NCDC,34.2008,-86.1633,1070,1/1908-7/2011
AL,BOAZ                     ,01-0957, ,,1-hour,NCDC,34.2008,-86.1633,1070,6/1948-12/2010
AL,BRANTLEY                 ,01-1069, ,,1-day,NCDC,31.5833,-86.2667,269,7/1930-1/1982
AL,BREWTON 3 ENE            ,01-1080, ,,1-day,NCDC,31.1408,-87.0483,160,4/1977-10/2011
AL,BREWTON 3 SSE            ,01-1084, ,,1-day,NCDC,31.0581,-87.0547,85,2/1926-10/2011
AL,BRIDGEPORT 5 NW          ,01-1099, ,,1-day,NCDC,34.9786,-85.8008,670,9/1896-10/2011
AL,BROOKWOOD                ,01-1143, ,,1-day,NCDC,33.2536,-87.2936,515,6/1960-10/2010
AL,BRUNDIDGE                ,01-1178, ,,1-day,NCDC,31.7056,-85.8369,455,7/1930-10/2011
AL,CALERA                   ,01-1288, ,,1-day,NCDC,33.1106,-86.7461,530,9/1900-10/2011
AL,CAMDEN 3 NNW             ,01-1300,01-1301,,1-day,NCDC,32.0333,-87.3167,112,6/1908-8/1961
AL,CAMDEN 3 NW              ,01-1301, ,,1-day,NCDC,32.0289,-87.3167,235,6/1908-12/2001
AL,CAMP HILL 2NW            ,01-1324, ,,1-day,NCDC,32.8236,-85.6561,680,12/1900-10/2011
AL,CARBON HILL              ,01-1377, ,,1-day,NCDC,33.8925,-87.5283,430,3/1938-10/2011
AL,CENTREVILLE              ,01-1520, ,,1-day,NCDC,32.9500,-87.1333,220,12/1916-9/1973
AL,CENTREVILLE 6 SW         ,01-1525, ,,1-day,NCDC,32.8661,-87.2383,450,12/1974-8/2010
AL,CHATOM                   ,01-1566, ,,1-day,NCDC,31.4714,-88.2503,285,9/1949-8/2011
AL,CHILDERSBURG             ,01-1615,01-1620,,1-day,NCDC,33.2833,-86.3667,479,1/1891-3/1968
AL,CHILDERSBURG WTR PL      ,01-1620, ,,1-day,NCDC,33.2850,-86.3431,418,1/1891-10/2011
AL,CLAIBORNE L&D            ,01-1690, ,,1-day,NCDC,31.6147,-87.5503,50,10/1952-10/2011
AL,CLANTON                  ,01-1694, ,,1-day,NCDC,32.8200,-86.6522,610,2/1893-10/2011
AL,CLAYTON                  ,01-1725, ,,1-day,NCDC,31.8844,-85.4789,500,11/1928-10/2011
AL,COCHRANE 2 E             ,01-1799,01-2141,,1-day,NCDC,33.0833,-88.2333,151,11/1909-12/1956
AL,CODEN                    ,01-1803, ,,1-day,NCDC,30.3878,-88.2281,12,10/1956-10/2011
AL,COFFEE SPRINGS 2 NW      ,01-1807, ,,1-day,NCDC,31.1833,-85.9333,250,9/1923-12/1983
AL,COLBERT STEAM PLT        ,01-1819, ,,1-day,NCDC,34.7500,-87.8500,469,1/1949-12/1980
AL,COLBERT STEAM PLT        ,01-1819, ,,1-hour,NCDC,34.7500,-87.8500,469,11/1951-12/1980
AL,COLLINSVILLE             ,01-1849, ,,1-day,NCDC,34.2500,-85.8833,751,3/1938-10/1977
AL,CORDOVA 2 ENE            ,01-1940, ,,1-day,NCDC,33.7500,-87.1500,320,2/1901-7/1991
AL,CUBA                     ,01-2079, ,,1-day,NCDC,32.4333,-88.3833,220,2/1940-2/1983
AL,DADEVILLE                ,01-2119, ,,1-day,NCDC,32.8167,-85.7500,650,7/1904-4/2010
AL,DADEVILLE 2              ,01-2124, ,01-2119,1-hour,NCDC,32.8622,-85.7358,733,6/1948-12/2010
AL,DADEVILLE 2              ,01-2124, ,01-2119,15-min,NCDC,32.8622,-85.7358,733,5/1971-12/2010
AL,DANCY 4 N                ,01-2141, ,,1-day,NCDC,33.0667,-88.2833,210,2/1905-6/1965
AL,DAUPHIN ISLAND #2        ,01-2172, ,,1-day,NCDC,30.2500,-88.0833,8,6/1866-10/2011
AL,DAUPHIN ISLAND #2        ,01-2172, ,,1-hour,NCDC,30.2505,-88.0775,8,6/1948-12/2010
AL,DAUPHIN ISLAND #2        ,01-2172, ,,15-min,NCDC,30.2500,-88.0833,8,8/1975-12/2010
AL,DAYTON 1 N               ,01-2188, ,,1-day,NCDC,32.3667,-87.6500,230,1/1940-3/1982
AL,DECATUR                  ,01-2207, ,,1-day,NCDC,34.5833,-86.9667,581,2/1880-5/1969
AL,DEMOPOLIS L&D            ,01-2245, ,,1-day,NCDC,32.5192,-87.8794,100,11/1892-10/2011
AL,DEMOPOLIS LOCK 4         ,01-2240,01-2245,,1-day,NCDC,32.5167,-87.8500,102,11/1892-8/1954
AL,DORA                     ,01-2350, ,,1-day,NCDC,33.7386,-87.0792,358,3/1938-10/2011
AL,DOTHAN                   ,01-2377, ,,1-day,NCDC,31.1942,-85.3708,275,4/1952-10/2011
AL,DOTHAN                   ,01-2377, ,,1-hour,NCDC,31.1942,-85.3708,275,4/1952-12/2010
AL,DOTHAN                   ,01-2377, ,,15-min,NCDC,31.1942,-85.3708,275,5/1971-12/2010
AL,DOTHAN FAA AP            ,01-2372, ,,1-day,NCDC,31.3167,-85.4500,371,4/1902-12/1969
AL,ELBA                     ,01-2577, ,,1-day,NCDC,31.4239,-86.0667,195,3/1893-12/2010
AL,ELROD                    ,01-2632, ,,1-day,NCDC,33.2569,-87.7972,252,2/1940-7/2000
AL,ENTERPRISE               ,01-2670,01-2675,,1-day,NCDC,31.3167,-85.8500,381,1/1956-5/1966
AL,ENTERPRISE 2 W           ,01-2675, ,,1-day,NCDC,31.3147,-85.8797,398,1/1956-10/2011
AL,ENTERPRISE 2 W           ,01-2675, ,,1-hour,NCDC,31.3147,-85.8797,398,4/1971-12/2010
AL,ENTERPRISE 2 W           ,01-2675, ,,15-min,NCDC,31.3147,-85.8797,398,5/1971-12/2010
AL,EUFAULA                  ,01-2727, ,,1-day,NCDC,31.8667,-85.1500,200,6/1892-2/1967
AL,EUFAULA WILDLIFE REF     ,01-2730, ,,1-day,NCDC,32.0086,-85.0919,230,3/1967-9/2011
AL,EVERGREEN                ,01-2758, ,,1-day,NCDC,31.4449,-86.9532,290,10/1890-10/2011
AL,EVERGREEN FAA AP         ,01-2763,01-2758,,1-day,NCDC,31.4167,-87.0333,256,12/1949-7/1961
AL,FAIRHOPE 2 NE            ,01-2813, ,,1-day,NCDC,30.5467,-87.8808,23,8/1917-10/2011
AL,FALKVILLE 1 E            ,01-2840, ,,1-day,NCDC,34.3667,-86.8833,625,8/1938-6/1992
AL,FAYETTE                  ,01-2883, ,,1-day,NCDC,33.6847,-87.8219,365,3/1892-10/2011
AL,FLORENCE                 ,01-2971, ,,1-day,NCDC,34.8000,-87.6833,581,1/1893-4/1977
AL,FLORENCE AT LOCK         ,01-2976,01-5749,,1-day,NCDC,34.7833,-87.6667,449,12/1890-11/1959
AL,FRISCO CITY 3 SSW        ,01-3105, ,,1-day,NCDC,31.3894,-87.4203,275,7/1930-11/2000
AL,FT DEPOSIT               ,01-3024, ,,1-day,NCDC,31.9833,-86.5833,502,11/1891-10/1969
AL,FT MORGAN                ,01-3035,01-2172,,1-day,NCDC,30.2333,-88.0167,10,5/1940-7/1975
AL,FT MORGAN                ,01-3035,01-2172,,1-hour,NCDC,30.2333,-88.0167,10,6/1948-7/1975
AL,FT PAYNE                 ,01-3043, ,,1-day,NCDC,34.4406,-85.7236,917,7/1935-10/2011
AL,FT PAYNE                 ,01-3043, ,,1-hour,NCDC,34.4406,-85.7236,917,6/1948-12/2010
AL,GADSDEN                  ,01-3154, ,,1-day,NCDC,34.0219,-85.9878,565,7/1893-10/2011
AL,GADSDEN                  ,01-3151,01-3154,,1-day,NCDC,34.0167,-86.0000,571,7/1893-3/1968
AL,GAINESVILLE LOCK         ,01-3160, ,,1-day,NCDC,32.8347,-88.1342,125,6/1948-10/2011
AL,GARDEN CITY              ,01-3200, ,,1-day,NCDC,34.0167,-86.7500,502,3/1938-12/1983
AL,GARDEN CITY              ,01-3200,01-3655,,1-hour,NCDC,34.0167,-86.7500,502,6/1948-3/1973
AL,GENEVA                   ,01-3255,01-3251,,1-day,NCDC,31.0386,-85.8700,106,1/1892-3/1976
AL,GENEVA #2                ,01-3251, ,,1-day,NCDC,31.0383,-85.8708,145,1/1892-10/2011
AL,GEORGIANA                ,01-3271, ,,1-day,NCDC,31.6772,-86.8061,300,2/1956-7/2004
AL,GOODWATER                ,01-3399, ,,1-day,NCDC,33.0667,-86.0500,1010,11/1895-6/1954
AL,GORGAS 2 ENE             ,01-3430, ,,1-day,NCDC,33.6667,-87.1833,350,1/1937-10/1994
AL,GREENSBORO               ,01-3511, ,,1-day,NCDC,32.7017,-87.5808,220,2/1890-7/2011
AL,GREENVILLE               ,01-3519, ,,1-day,NCDC,31.7901,-86.6087,342,9/1900-10/2011
AL,GREENVILLE               ,01-3519, ,,1-hour,NCDC,31.7901,-86.6087,342,6/1948-12/2010
AL,GREENVILLE               ,01-3519, ,,15-min,NCDC,31.7947,-86.6147,342,9/1971-12/2010
AL,GREENVILLE 2             ,01-3524,01-3519,,1-hour,NCDC,31.8333,-86.6333,420,6/1948-11/1966
AL,GUNTERSVILLE             ,01-3573, ,,1-day,NCDC,34.3344,-86.3297,578,12/1904-10/2011
AL,HALEYVILLE               ,01-3620, ,,1-day,NCDC,34.2311,-87.6347,920,11/1902-7/2011
AL,HALEYVILLE               ,01-3620, ,,1-hour,NCDC,34.2311,-87.6347,920,6/1948-12/2010
AL,HALEYVILLE               ,01-3620, ,,15-min,NCDC,34.2311,-87.6347,920,3/1977-12/2010
AL,HAMILTON                 ,01-3644,01-3645,,1-day,NCDC,34.1333,-87.9833,551,9/1930-12/1961
AL,HAMILTON 3 S             ,01-3645, ,,1-day,NCDC,34.0967,-87.9914,435,9/1930-10/2011
AL,HAMILTON 3 S             ,01-3645, ,,1-hour,NCDC,34.0967,-87.9914,435,11/1967-12/2010
AL,HANCEVILLE               ,01-3655, ,,1-day,NCDC,34.0675,-86.7917,592,6/1948-10/2011
AL,HANCEVILLE               ,01-3655, ,,1-hour,NCDC,34.0675,-86.7917,592,6/1948-11/2007
AL,HANCEVILLE               ,01-3655, ,,15-min,NCDC,34.0675,-86.7917,592,4/1973-11/2007
AL,HAYNEVILLE               ,01-3748, ,,1-day,NCDC,32.1833,-86.5833,171,3/1938-6/1981
AL,HEADLAND                 ,01-3761, ,,1-day,NCDC,31.3625,-85.3397,370,4/1950-10/2011
AL,HEFLIN                   ,01-3775, ,,1-day,NCDC,33.6483,-85.6006,850,1/1956-10/2011
AL,HELENA                   ,01-3781, ,,1-day,NCDC,33.2725,-86.8336,480,9/1900-10/2011
AL,HELENA 1 S               ,01-3783,01-3781,,1-day,NCDC,33.2833,-86.8500,416,9/1900-8/1951
AL,HIGHLAND HOME            ,01-3816, ,,1-day,NCDC,31.8814,-86.2503,433,5/1892-10/2011
AL,HIGHTOWER                ,01-3842, ,,1-day,NCDC,33.5172,-85.3781,1175,8/1941-10/2011
AL,HODGES                   ,01-3899, ,,1-day,NCDC,34.3606,-87.9283,840,3/1938-3/2000
AL,HUNTSVILLE 4 SSE         ,01-4068,01-4064,,1-day,NCDC,34.7000,-86.5833,610,1/1937-7/1954
AL,HUNTSVILLE INTNL AP      ,01-4064, ,,1-day,NCDC,34.6439,-86.7861,624,1/1937-10/2010
AL,HUNTSVILLE INTNL AP      ,01-4064, ,,1-hour,NCDC,34.6439,-86.7861,624,11/1958-12/2010
AL,JACKSON                  ,01-4193, ,,1-day,NCDC,31.5250,-87.9278,220,1/1930-10/2011
AL,JACKSON                  ,01-4193, ,,1-hour,NCDC,31.5250,-87.9278,220,10/1961-12/2010
AL,JACKSON                  ,01-4193, ,,15-min,NCDC,31.5250,-87.9278,220,4/1974-12/2010
AL,JACKSON LOCK 1           ,01-4192,01-4193,,1-day,NCDC,31.5500,-88.0167,10,1/1930-10/1960
AL,JACKSONVILLE             ,01-4209, ,,1-day,NCDC,33.8164,-85.7661,688,7/1948-10/2011
AL,JACKSONVILLE             ,01-4209, ,,1-hour,NCDC,33.8164,-85.7661,688,6/1948-12/2010
AL,JASPER                   ,01-4226, ,,1-day,NCDC,33.9053,-87.3150,486,8/1960-10/2011
AL,JORDAN DAM               ,01-4306, ,,1-day,NCDC,32.6167,-86.2500,290,1/1937-10/2011
AL,KINSTON                  ,01-4431, ,,1-day,NCDC,31.2403,-86.1947,270,6/1965-12/2006
AL,LAFAYETTE 2W             ,01-4502, ,,1-day,NCDC,32.9069,-85.4336,740,11/1944-10/2011
AL,LAY DAM                  ,01-4603, ,,1-day,NCDC,32.9667,-86.5167,420,1/1937-10/2011
AL,LEEDS                    ,01-4619, ,,1-day,NCDC,33.5447,-86.5272,636,2/1917-10/2011
AL,LEESBURG                 ,01-4627,01-8755,,1-day,NCDC,34.1833,-85.7667,591,1/1900-10/1981
AL,LINCOLN LOCK 4           ,01-4845, ,,1-day,NCDC,33.6333,-86.1833,512,12/1896-8/1949
AL,LIVINGSTON               ,01-4798, ,,1-day,NCDC,32.5811,-88.1897,128,11/1891-10/2011
AL,MADISON                  ,01-4976, ,,1-day,NCDC,34.7000,-86.7500,581,2/1894-12/1974
AL,MAGELLA                  ,01-4996,01-0829,,1-day,NCDC,33.5000,-86.8500,650,1/1937-1/1977
AL,MARION 1 N               ,01-5108,01-5112,,1-day,NCDC,32.6333,-87.3000,210,12/1893-11/1967
AL,MARION 7 NE              ,01-5112, ,,1-day,NCDC,32.7028,-87.2681,172,12/1893-11/2004
AL,MARION 7 NE              ,01-5112, ,,1-hour,NCDC,32.7028,-87.2681,172,11/1967-12/2004
AL,MARION 7 NE              ,01-5112, ,,15-min,NCDC,32.7028,-87.2681,172,12/1971-12/2004
AL,MARION JUNCTION 2 E      ,01-5116, ,,1-day,NCDC,32.4500,-87.1833,202,10/1938-10/2011
AL,MARION JUNCTION 2 NE     ,01-5121, ,,1-day,NCDC,32.4714,-87.2306,200,2/1950-7/2011
AL,MARTIN DAM               ,01-5140,01-8653,,1-day,NCDC,32.6667,-85.9167,340,1/1925-9/1992
AL,MATHEWS                  ,01-5172, ,,1-day,NCDC,32.2603,-86.0003,190,8/1956-10/2011
AL,MELVIN                   ,01-5354, ,,1-day,NCDC,31.9306,-88.4586,350,1/1940-10/2011
AL,MIDWAY                   ,01-5397, ,,1-hour,NCDC,32.0597,-85.4953,498,6/1948-12/2010
AL,MIDWAY                   ,01-5397, ,,15-min,NCDC,32.0597,-85.4953,498,5/1971-12/2010
AL,MILLERS FERRY            ,01-5417,01-5420,,1-day,NCDC,32.1000,-87.3667,79,11/1930-10/1967
AL,MILLERS FERRY L&D        ,01-5420, ,,1-day,NCDC,32.1000,-87.3981,115,11/1930-10/2011
AL,MILSTEAD                 ,01-5439, ,,1-day,NCDC,32.4419,-85.8889,215,9/1902-10/2011
AL,MITCHELL DAM             ,01-5465, ,,1-day,NCDC,32.8000,-86.4500,350,1/1937-10/2011
AL,MOBILE                   ,01-5483, ,,1-day,NCDC,30.6833,-88.0333,10,1/1871-12/1965
AL,MOBILE POINT             ,62-5483,01-3035,,1-day,FORTS,30.2278,-88.0242,6,6/1866-12/1892
AL,MOBILE RGNL AP           ,01-5478, ,,1-day,NCDC,30.6883,-88.2456,215,3/1900-8/2010
AL,MOBILE RGNL AP           ,01-5478, ,,1-hour,NCDC,30.6883,-88.2456,215,7/1948-12/2010
AL,MONTEVALLO               ,01-5537, ,,1-day,NCDC,33.0981,-86.8667,410,12/1893-10/2011
AL,MONTGOMERY 6SW           ,01-5553, ,,1-day,NCDC,32.2600,-86.2181,225,12/1921-10/2011
AL,MONTGOMERY AP ASOS       ,01-5550, ,,1-day,NCDC,32.2997,-86.4075,202,1/1948-10/2010
AL,MONTGOMERY AP ASOS       ,01-5550, ,,1-hour,NCDC,32.2997,-86.4075,202,7/1948-12/2010
AL,MONTGOMERY WB CITY       ,01-5555, ,,1-day,NCDC,32.3833,-86.3000,256,9/1872-9/1954
AL,MOULTON                  ,01-5625,01-5635,,1-day,NCDC,34.4667,-87.3000,630,7/1927-3/1962
AL,MOULTON                  ,01-5625, ,01-5635,1-hour,NCDC,34.4667,-87.3000,630,7/1948-8/1977
AL,MOULTON 2                ,01-5635, ,,1-day,NCDC,34.4883,-87.2989,622,7/1927-10/2011
AL,MOUNT VERNON BARRACKS    ,01-5685, ,,1-day,NCDC,31.0881,-88.0258,172,10/1840-2/1892
AL,MUSCLE SHOALS AP         ,01-5749, ,,1-day,NCDC,34.7442,-87.5997,540,12/1890-10/2010
AL,NATCHEZ                  ,01-5785,01-0616,,1-day,NCDC,31.7167,-87.2667,180,3/1951-6/1967
AL,NEW MARKET               ,01-5862,01-5867,,1-day,NCDC,34.9000,-86.4333,761,2/1943-3/1962
AL,NEW MARKET 2             ,01-5867, ,,1-day,NCDC,34.9167,-86.4500,732,2/1943-2/1977
AL,NEWTON                   ,01-5875, ,,1-day,NCDC,31.3458,-85.6228,139,12/1891-4/1981
AL,ONEONTA                  ,01-6121, ,,1-day,NCDC,33.9478,-86.4692,892,8/1894-10/2011
AL,OPELIKA                  ,01-6129, ,,1-day,NCDC,32.6592,-85.4492,640,3/1957-10/2011
AL,OZARK 6 NNW              ,01-6218, ,,1-day,NCDC,31.5333,-85.6833,470,5/1902-3/1986
AL,PAINT ROCK 2 N           ,01-6226, ,,1-day,NCDC,34.7000,-86.3333,640,11/1935-12/1980
AL,PAINT ROCK 2 N           ,01-6226, ,,1-hour,NCDC,34.7000,-86.3333,640,7/1948-12/1980
AL,PALMERDALE               ,01-6246, ,,1-day,NCDC,33.7450,-86.6417,722,6/1948-10/2011
AL,PENNINGTON 2 NE          ,01-6334, ,,1-day,NCDC,32.2258,-88.0281,85,1/1932-6/1998
AL,PERRYVILLE               ,01-6362, ,,1-day,NCDC,32.6567,-87.0928,272,1/1940-10/2004
AL,PETERMAN                 ,01-6370, ,,1-hour,NCDC,31.5883,-87.2681,240,6/1948-12/2010
AL,PETERMAN                 ,01-6370, ,,15-min,NCDC,31.5883,-87.2681,240,6/1974-12/2010
AL,PICKENSVILLE             ,01-6418,01-0184,,1-day,NCDC,33.2333,-88.2833,180,7/1977-4/1980
AL,PICKENSVILLE             ,01-6414,01-0184,,1-day,NCDC,33.2167,-88.2500,171,2/1940-4/1977
AL,PINE APPLE               ,01-6436, ,,1-day,NCDC,31.8817,-86.9861,265,10/1967-10/2011
AL,PINE LEVEL 4 ESE         ,01-6468, ,,1-day,NCDC,32.0333,-85.9833,480,5/1941-6/1989
AL,PINSON                   ,01-6478, ,,1-day,NCDC,33.6906,-86.6847,608,2/1951-10/2011
AL,PLANTERSVILLE 2 SSE      ,01-6508, ,,1-day,NCDC,32.6131,-86.9056,230,1/1940-10/2011
AL,PRATTVILLE               ,01-6640, ,,1-day,NCDC,32.4833,-86.4833,302,2/1902-9/1977
AL,PRIMROSE FARM            ,01-6684,01-5553,,1-day,NCDC,32.3000,-86.2500,180,12/1921-12/1966
AL,PUSHMATAHA               ,01-6719, ,,1-day,NCDC,32.2000,-88.3500,259,11/1891-12/1964
AL,REFORM                   ,01-6847, ,,1-day,NCDC,33.3753,-88.0200,238,3/1938-7/2011
AL,RIVER FALLS              ,01-6937, ,,1-day,NCDC,31.3500,-86.5333,180,11/1928-12/1980
AL,RIVER FALLS 2 NE         ,01-6942,01-0252,,1-hour,NCDC,31.3667,-86.5167,190,6/1948-12/1980
AL,ROBERTSDALE              ,01-6988, ,,1-day,NCDC,30.5650,-87.7017,161,5/1912-10/2011
AL,ROCK MILLS               ,01-7025, ,,1-day,NCDC,33.1581,-85.2911,750,6/1938-10/2011
AL,ROCKFORD 3 ESE           ,01-7020, ,,1-day,NCDC,32.8711,-86.1758,600,7/1954-7/2011
AL,RUSSELLVILLE #2          ,01-7131, ,,1-day,NCDC,34.5100,-87.7319,830,9/1953-10/2011
AL,SAINT BERNARD            ,01-7157, ,,1-day,NCDC,34.1736,-86.8133,800,8/1907-2/2010
AL,SAND MT SUBSTN           ,01-7207, ,,1-day,NCDC,34.2878,-85.9681,1190,1/1949-10/2011
AL,SAYRE 5 NW               ,01-7282,01-2350,,1-day,NCDC,33.7500,-87.0500,304,3/1938-3/1992
AL,SCOTTSBORO               ,01-7304, ,,1-day,NCDC,34.6736,-86.0536,615,12/1891-10/2011
AL,SEALE                    ,01-7326, ,,1-day,NCDC,32.3217,-85.1683,425,3/1925-10/2011
AL,SEALE                    ,01-7328,01-7326,,1-day,NCDC,32.3000,-85.1667,390,3/1925-2/1965
AL,SELMA                    ,01-7366, ,,1-day,NCDC,32.4100,-87.0153,147,2/1895-10/2011
AL,SHEFFIELD TVA NURSERY    ,01-7415,01-2971,,1-day,NCDC,34.7667,-87.7000,512,3/1935-7/1954
AL,SPRING HILL              ,01-7733,01-5478,,1-day,NCDC,30.7000,-88.1667,180,5/1904-6/1951
AL,SUTTLE                   ,01-7963, ,,1-day,NCDC,32.5411,-87.1783,145,10/1949-6/1980
AL,SYLACAUGA 2 W            ,01-7994,01-7999,,1-day,NCDC,33.1667,-86.2833,551,1/1937-7/1959
AL,SYLACAUGA 4 NE           ,01-7999, ,,1-day,NCDC,33.2053,-86.2114,490,1/1937-10/2011
AL,TALLADEGA                ,01-8024, ,,1-day,NCDC,33.4164,-86.1350,448,2/1888-10/2011
AL,THOMASVILLE              ,01-8178, ,,1-day,NCDC,31.9172,-87.7347,390,9/1891-10/2011
AL,THOMASVILLE              ,01-8178, ,,1-hour,NCDC,31.9172,-87.7347,390,11/1967-12/2010
AL,THOMASVILLE              ,01-8178, ,,15-min,NCDC,31.9172,-87.7347,390,5/1971-12/2010
AL,THORSBY 1 SW             ,01-8204,01-8209,,1-hour,NCDC,32.9000,-86.7333,200,6/1948-3/1972
AL,THORSBY EXP STN          ,01-8209, ,,1-day,NCDC,32.9206,-86.6708,680,6/1948-10/2011
AL,THORSBY EXP STN          ,01-8209, ,,1-hour,NCDC,32.9206,-86.6708,680,6/1948-12/2010
AL,THORSBY EXP STN          ,01-8209, ,,15-min,NCDC,32.9206,-86.6708,680,5/1971-12/2010
AL,THURLOW DAM              ,01-8215, ,,1-day,NCDC,32.5333,-85.9000,288,1/1937-9/1992
AL,TONEY                    ,01-8259, ,,1-hour,NCDC,34.9000,-86.7333,830,7/1948-12/1980
