site_no,first_year,last_year,observed_years,coverage_fraction,fixed_network_selected
02458502,1998,2025,20,0.425531914893617,False
02458600,1997,2025,29,0.6170212765957447,False
02460500,1979,2025,8,0.1702127659574468,False
02461130,2001,2025,12,0.2553191489361702,False
02461192,2020,2024,5,0.10638297872340426,False
02461405,2019,2025,7,0.14893617021276595,False
02461500,1979,2025,38,0.8085106382978723,True
02461630,1998,2003,6,0.1276595744680851,False
02461640,1998,2006,9,0.19148936170212766,False
02462000,1979,2025,46,0.9787234042553191,True
02462500,1979,2014,36,0.7659574468085106,False
02462600,1979,1984,6,0.1276595744680851,False
02462840,1981,1982,2,0.0425531914893617,False
02462951,1979,2014,36,0.7659574468085106,False
02462990,1979,1984,5,0.10638297872340426,False
02463510,1981,1981,1,0.02127659574468085,False
02463587,1991,1991,1,0.02127659574468085,False
02463900,1981,1984,4,0.0851063829787234,False
02464000,1979,2025,47,1.0,True
02464146,1981,2017,35,0.7446808510638298,False
02464360,1987,2017,31,0.6595744680851063,False
02464385,2010,2011,2,0.0425531914893617,False
02464503,2011,2012,2,0.0425531914893617,False
02464660,2009,2017,9,0.19148936170212766,False
02464680,2011,2012,2,0.0425531914893617,False
02465000,1979,2022,44,0.9361702127659575,False
02465080,1997,1998,2,0.0425531914893617,False
02465205,1997,1998,2,0.0425531914893617,False
02465286,1979,1984,6,0.1276595744680851,False
02465292,2003,2024,22,0.46808510638297873,False
02465493,1979,2024,46,0.9787234042553191,True
02465500,1979,1979,1,0.02127659574468085,False
02466000,1979,1981,3,0.06382978723404255,False
02466030,1979,2024,41,0.8723404255319149,True
02466500,2023,2025,3,0.06382978723404255,False
02467000,1979,2017,39,0.8297872340425532,False
02467050,1979,1980,2,0.0425531914893617,False
02467500,1979,2024,46,0.9787234042553191,True
02468000,1979,1979,1,0.02127659574468085,False
02468500,1979,1991,13,0.2765957446808511,False
02468966,1980,1985,6,0.1276595744680851,False
02469500,2023,2024,2,0.0425531914893617,False
02469525,2017,2025,9,0.19148936170212766,False
02469550,1979,1979,1,0.02127659574468085,False
02469672,1979,1984,6,0.1276595744680851,False
02469761,1979,2023,45,0.9574468085106383,True
02469766,1979,1980,2,0.0425531914893617,False
02469795,1995,2002,8,0.1702127659574468,False
02469800,1979,2025,47,1.0,True
02470072,1996,2025,30,0.6382978723404256,False
02470320,1979,1981,3,0.06382978723404255,False
02471001,1979,2025,46,0.9787234042553191,True
0247100550,1997,2000,4,0.0851063829787234,False
02471013,2000,2003,4,0.0851063829787234,False
02471065,1979,1983,5,0.10638297872340426,False
02471078,1995,2025,31,0.6595744680851063,False
02478500,1979,2024,46,0.9787234042553191,True
02479431,1979,1999,21,0.44680851063829785,False
02479500,2021,2025,5,0.10638297872340426,False
02479560,1979,2019,41,0.8723404255319149,False
02479945,1991,2025,35,0.7446808510638298,False
02479948,1992,1992,1,0.02127659574468085,False
02479950,1992,1992,1,0.02127659574468085,False
02479980,1991,2025,35,0.7446808510638298,False
02480002,1991,2025,35,0.7446808510638298,False
02480150,1979,1981,3,0.06382978723404255,False
03568782,1986,1986,1,0.02127659574468085,False
03568810,1982,1982,1,0.02127659574468085,False
03568825,1982,1982,1,0.02127659574468085,False
03571850,1979,1987,9,0.19148936170212766,False
03572110,1979,2025,22,0.46808510638297873,False
03572153,2016,2016,1,0.02127659574468085,False
03572690,2011,2025,15,0.3191489361702128,False
03572900,1979,2025,11,0.23404255319148937,False
03573182,1999,2006,7,0.14893617021276595,False
03574100,2016,2025,10,0.2127659574468085,False
03574500,1979,2025,47,1.0,True
03574768,2018,2022,5,0.10638297872340426,False
0357479650,1999,2025,24,0.5106382978723404,False
03575000,1979,1994,15,0.3191489361702128,False
03575100,1999,2025,27,0.574468085106383,False
0357526200,1997,2025,28,0.5957446808510638,False
03575272,2009,2025,17,0.3617021276595745,False
03575500,1979,2011,28,0.5957446808510638,False
0357568650,1996,2024,29,0.6170212765957447,False
0357568820,1997,2005,9,0.19148936170212766,False
0357568980,1988,2025,30,0.6382978723404256,False
03575700,1985,2025,39,0.8297872340425532,False
03575830,1979,2025,47,1.0,True
0357586650,1997,2024,28,0.5957446808510638,False
0357587090,1997,2025,29,0.6170212765957447,False
0357587140,1997,2025,27,0.574468085106383,False
0357587400,1997,2025,29,0.6170212765957447,False
0357587728,1985,2025,39,0.8297872340425532,False
03575890,1985,2025,41,0.8723404255319149,False
0357591500,1997,2024,28,0.5957446808510638,False
03575933,1992,2008,16,0.3404255319148936,False
03575950,1992,2025,32,0.6808510638297872,False
03575980,1985,2025,41,0.8723404255319149,False
03576148,1979,2025,8,0.1702127659574468,False
03576250,1979,2025,38,0.8085106382978723,True
03576400,1991,1991,1,0.02127659574468085,False
03576500,1992,2024,20,0.425531914893617,False
03577000,1993,1998,6,0.1276595744680851,False
03577110,1992,1992,1,0.02127659574468085,False
03577119,2023,2024,2,0.0425531914893617,False
03577225,2010,2025,16,0.3404255319148936,False
03584500,1979,1989,11,0.23404255319148937,False
03584600,1979,2025,39,0.8297872340425532,True
03585269,2006,2008,3,0.06382978723404255,False
03586500,1979,2025,41,0.8723404255319149,True
03587200,1979,1983,5,0.10638297872340426,False
03588500,1979,2025,41,0.8723404255319149,True
03589450,1979,1980,2,0.0425531914893617,False
03589500,1979,2013,29,0.6170212765957447,False
03590000,2015,2025,11,0.23404255319148937,False
03590290,1979,1982,3,0.06382978723404255,False
03591800,2023,2025,3,0.06382978723404255,False
03592000,1979,2022,9,0.19148936170212766,False
03592500,1979,2022,10,0.2127659574468085,False
